,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Location Good,Date Occurred (datetime),Zip Code
1682364,180804314,01/08/2018,01/08/2018,400,8,West LA,808,121,"RAPE, FORCIBLE",1402 0527 0400 0532 0537 1206,27.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,998.0,,,1200    TOWER                        RD,,"(34.1132, -118.4249)",True,2018-01-08,90210
1677568,180705677,02/04/2018,02/04/2018,940,7,Wilshire,774,901,VIOLATION OF RESTRAINING ORDER,1501,48.0,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,901.0,,,,5000 W  WASHINGTON                   BL,,"(34.0431, -118.3482)",True,2018-02-04,90019
1677462,180705292,01/29/2018,01/26/2018,1545,7,Wilshire,738,220,ATTEMPTED ROBBERY,0443 0337 0353,14.0,M,A,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,220.0,,,,4900    WILSHIRE                     BL,,"(34.0621, -118.3365)",True,2018-01-26,90020
1688096,181306714,02/16/2018,02/16/2018,1,13,Newton,1352,626,INTIMATE PARTNER - SIMPLE ASSAULT,0334 1814 0913 0448 0429 2002 2000 0416,35.0,F,H,501.0,SINGLE FAMILY DWELLING,301.0,BELT FLAILING INSTRUMENT/CHAIN,IC,Invest Cont,626.0,,,,4400    TOWNE                        AV,,"(34.0039, -118.2676)",True,2018-02-16,90011
1670270,181905156,01/24/2018,01/23/2018,900,19,Mission,1935,940,EXTORTION,0337 1916 0421,26.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940.0,,,,14700    SAN FERNANDO MISSION         BL,,"(34.2764, -118.4536)",True,2018-01-23,91345
1689878,182106484,02/20/2018,02/16/2018,2200,21,Topanga,2156,330,BURGLARY FROM VEHICLE,0344,31.0,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,6700    TOPANGA CANYON               BL,,"(34.1926, -118.6059)",True,2018-02-16,91303
1671340,180205300,01/26/2018,01/26/2018,830,2,Rampart,269,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0419 0448 0416,24.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,1500 W  8TH                          ST,,"(34.0511, -118.2707)",True,2018-01-26,90017
1669314,181504786,01/16/2018,01/16/2018,5,15,N Hollywood,1503,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300,20.0,M,H,101.0,STREET,,,IC,Invest Cont,420.0,,,,6600    SAINT CLAIR                  AV,,"(34.1904, -118.3997)",True,2018-01-16,91606
1663606,181004673,01/15/2018,01/12/2018,1500,10,West Valley,1035,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,67.0,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,6600    DARBY                        AV,,"(34.1903, -118.5335)",True,2018-01-12,91335
1685982,180307119,02/16/2018,02/14/2018,1,3,Southwest,361,664,"BUNCO, PETTY THEFT",0701 0800 1916,22.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,664.0,,,,4800    COLISEUM                     ST,,"(34.0183, -118.3504)",True,2018-02-14,90016
1693485,181606066,02/23/2018,02/22/2018,1700,16,Foothill,1653,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,HADDON,OSBORNE,"(34.2493, -118.4162)",True,2018-02-22,91331
1670323,182004524,01/10/2018,01/10/2018,15,20,Olympic,2022,624,BATTERY - SIMPLE ASSAULT,0444 0429 0913,54.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,400 S  MANHATTAN                    PL,,"(34.0672, -118.3104)",True,2018-01-10,90020
1654420,180804067,01/03/2018,01/02/2018,2200,8,West LA,898,510,VEHICLE - STOLEN,,17.0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,8800    OLIN                         ST,,"(34.0354, -118.384)",True,2018-01-02,90034
1679543,181605462,02/07/2018,02/06/2018,1900,16,Foothill,1602,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300 1202 1307,69.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,MERCER                       ST,GLADSTONE                    AV,"(34.2851, -118.3998)",True,2018-02-06,91342
